Comment,Designator,Footprint,LCSC Part Number
ESP32-WROOM-32,U1,ESP32-WROOM-32,C82899
AMS1117-3.3,U2,SOT-223,C6186
HLK-PM01,U3,HLK-PM01,C209587
SRD-05VDC-SL-C,K1,SRD-05VDC-SL-C,C35449
2N7000,Q1,TO-92,C9114
10K,R1,0603,C25804
1K,R2,0603,C21190
330R,R3,0603,C23138
10K,R4,0603,C25804
100uF,C1,Electrolytic,C3339
22uF,C2,0805,C45783
100nF,C3,0603,C14663
10uF,C4,0603,C19702
22uH,L1,0805,C1015
1N4007,D1,DO-41,C181125
LED_Green,D2,0603,C72043
LED_Red,D3,0603,C2286
TACT_6x6,SW1,THT,C318884
Terminal_Block_2P,J1,THT,C8269
