Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
U1,ESP32-WROOM-32,ESP32-WROOM-32,127.00mm,101.60mm,0,top
U2,AMS1117-3.3,SOT-223,76.20mm,88.90mm,0,top
U3,HLK-PM01,HLK-PM01,76.20mm,111.76mm,0,top
K1,SRD-05VDC-SL-C,SRD-05VDC-SL-C,218.44mm,101.60mm,0,top
Q1,2N7000,TO-92,193.04mm,118.90mm,0,top
R1,10K,0603,114.30mm,96.52mm,90,top
R2,1K,0603,120.65mm,96.52mm,0,top
R3,330R,0603,139.70mm,96.52mm,90,top
R4,10K,0603,127.00mm,111.76mm,0,top
C1,100uF,Electrolytic,88.90mm,96.52mm,0,top
C2,22uF,0805,101.60mm,88.90mm,90,top
C3,100nF,0603,114.30mm,111.76mm,0,top
C4,10uF,0603,152.40mm,96.52mm,90,top
L1,22uH,0805,107.95mm,114.30mm,0,top
D1,1N4007,DO-41,88.90mm,88.90mm,90,top
D2,LED_Green,0603,165.10mm,88.90mm,0,top
D3,LED_Red,0603,158.75mm,88.90mm,0,top
SW1,TACT_6x6,THT,88.90mm,120.65mm,0,top
J1,Terminal_Block_2P,THT,76.20mm,96.52mm,0,top
