Designator,Mid X,Mid Y,Layer,Rotation,Package,Value
"C1","6.684mm","23.0925mm","Top",0,"SMD_0603_1608Metric","F"
"C2","4.0585mm","24.7373mm","Top",0,"SMD_0603_1608Metric","100nF"
"C3","-13.6415mm","5.531mm","Top",0,"SMD_0603_1608Metric","F"
"C4","-15.9766mm","3.7059mm","Top",0,"SMD_0603_1608Metric","F"
"C5","-17.4126mm","0.4957mm","Top",0,"SMD_0603_1608Metric","F"
"C6","-12.5436mm","-4.0594mm","Top",0,"SMD_0603_1608Metric","F"
"D1","11.6168mm","0.5111mm","Top",0,"SMB_L4.6-W3.6-LS5.3-RD",""
"F1","-14.5847mm","-16.2223mm","Top",0,"",""
"L1","31.4729mm","-14.1414mm","Top",0,"FILTER-SMD_1206-4P-L3.2-W1.6-BL_DLP31SN221ML2L",""
"U1","-9.1367mm","18.0325mm","Top",0,"",""
"U2","28.8813mm","-16.583mm","Top",0,"SOT-553",""
"U3","0.4927mm","-25.1965mm","Top",0,"",""
