Comment,Designator,Footprint,LCSC Part Number
100nF,C7,C_0402_1005Metric,C1525
100nF,"C3,C4,C5",C_0805_2012Metric,C49678
10K,"R1,R2",R_0805_2012Metric,C17414
10uF,"C1,C2",C_0805_2012Metric,C15850
1K,"R3,R4,R5",R_0805_2012Metric,C17513
1N4007,D1,D_DO-41_SOD81_P10.16mm_Horizontal,C106903
1uF,C8,C_0402_1005Metric,C52923
22uF,C6,C_0805_2012Metric,C45783
5.1K,"R6,R7",R_0402_1005Metric,C25905
AMS1117-3.3,U2,SOT-223-3_TabPin2,C6186
BC817,Q1,SOT-23,C2137
CP2102N-A02-GQFN28,U3,QFN-28-1EP_5x5mm_P0.5mm_EP3.35x3.35mm,C6568
ESP32-WROOM-32,U1,ESP32-WROOM-32,C82899
Ferrite Bead,FB1,L_0805_2012Metric,C127284
LED Green,D2,LED_0805_2012Metric,C375456
LED Red,D3,LED_0805_2012Metric,C84256
SRD-05VDC-SL-C,K1,Relay_SPDT_SANYOU_SRD_Series_Form_C,C35449
Tactile Switch,"SW1,SW2",SW_SPST_TL3342,C127509
Terminal Block 2-pos,J2,"PhoenixContact_MC_1,5_2-G-3.81_1x02_P3.81mm_Horizontal",C8269
USB_C_Receptacle,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,C165948
