Designator,Mid X,Mid Y,Layer,Rotation
C1,18.0,-4.0,Top,0.0
C2,33.0,-4.0,Top,0.0
C3,33.0,-12.0,Top,0.0
C4,44.0,-15.0,Top,0.0
C5,47.0,-6.0,Top,0.0
C6,33.0,-1.3,Top,0.0
C7,18.0,-48.0,Top,0.0
C8,18.0,-49.5,Top,0.0
D1,8.0,-36.0,Top,0.0
D2,9.0,-4.0,Top,0.0
D3,6.0,-16.0,Top,0.0
FB1,18.0,-8.0,Top,0.0
J1,6.0,-30.0,Top,0.0
J2,72.0,-52.0,Top,0.0
K1,22.0,-50.0,Top,0.0
Q1,8.0,-52.0,Top,0.0
R1,47.0,-10.0,Top,0.0
R2,47.0,-20.0,Top,0.0
R3,14.0,-52.0,Top,0.0
R4,13.0,-4.0,Top,0.0
R5,10.0,-16.0,Top,0.0
R6,5.0,-21.5,Top,90.0
R7,5.0,-24.0,Top,90.0
SW1,48.0,-56.0,Top,0.0
SW2,60.0,-56.0,Top,0.0
U1,60.0,-12.0,Top,0.0
U2,26.0,-8.0,Top,0.0
U3,16.0,-44.0,Top,0.0
